OM azonosító;Intézmény megnevezése
033560;Baktalórántházi Reguly Antal Általános Iskola
033564;BÖKÖNYI BAROTA MIHÁLY ÓVODA ÉS KONYHA
033565;Buji II. Rákóczi Ferenc Általános Iskola és Alapfokú Művészeti Iskola
033569;Szent Anna Katolikus Óvoda és Általános Iskola
033571;Kálmánházi Benedek Elek Általános Iskola
033572;Kemecsei Arany János Református Általános Iskola, Alapfokú Művészeti Iskola
033575;Leveleki Gárdonyi Géza Általános Iskola
033577;Nagycserkeszi Mikszáth Kálmán Általános Iskola
033579;Napkori Jósika Miklós Német Nemzetiségi Általános Iskola és Alapfokú Művészeti Iskola
033585;Színi Károly Magyar-Angol Két Tanítási Nyelvű Általános Iskola
033588;Bónis Sámuel Általános Iskola
033592;Nyárády Mihály Általános Iskola
033595;Szabolcsvezér Általános Iskola
033597;Tiszanagyfalui Általános Iskola
033599;Tiszateleki Hunyadi Mátyás Általános Iskola
033605;Vasmegyeri Megyer Vezér Általános Iskola
033607;Rakovszky Sámuel Általános Iskola és Alapfokú Művészeti Iskola
033611;Aranyosapáti Napsugár Óvoda és Bölcsőde
033615;Csarodai Herman Ottó Általános Iskola
033624;Patay István Általános Iskola
033625;Pusztadobosi Általános Iskola
033626;Tarpai Esze Tamás Általános Iskola
033628;TISZAKERECSENYI KISDIÓ ÓVODA
033633;Tiszadadai Holló László Általános Iskola
033634;Tiszadobi Széchenyi István Általános Iskola és Alapfokú Művészeti Iskola
033635;Tiszaeszlári Általános Iskola
033637;Tiszalöki Kossuth Lajos Általános Iskola és Alapfokú Művészeti Iskola
033645;Demecseri Oktatási Centrum Gimnázium, Általános Iskola, Alapfokú Művészeti Iskola
033646;Fehérgyarmati Deák Ferenc Általános Iskola, Gimnázium és Kollégium
033648;Kisvárdai Bessenyei György Gimnázium és Kollégium
033649;Korányi Frigyes Görögkatolikus Általános Iskola, Gimnázium és Kollégium
033650;Nyíregyházi Evangélikus Kossuth Lajos Gimnázium
033651;Nyíregyházi Krúdy Gyula Gimnázium
033652;Nyíregyházi Zrínyi Ilona Gimnázium és Kollégium
033653;Nyíregyházi Kölcsey Ferenc Gimnázium
033654;Nyíregyházi Vasvári Pál Gimnázium
033657;Vásárosnaményi II. Rákóczi Ferenc Gimnázium
033659;Mátészalkai Esze Tamás Gimnázium
033660;Báthory István Katolikus Óvoda, Két Tanítási Nyelvű Általános Iskola és Gimnázium
033661;Szent László Katolikus Gimnázium, Technikum, Két Tanítási Nyelvű Általános Iskola, Kollégium, Óvoda és Bölcsőde
033665;Szent Imre Katolikus Gimnázium, Két Tanítási Nyelvű Általános Iskola, Kollégium, Óvoda és Alapfokú Művészeti Iskola
033666;Nyíregyházi Arany János Gimnázium, Általános Iskola és Kollégium
033667;Nyíregyházi Egyetem Eötvös József Gyakorló Általános Iskola és Gimnázium
033668;Ecsedi Báthori István Református Általános Iskola
033687;Nyíregyházi Művészeti Szakgimnázium
033742;KAPOSVÁRI FÉSŰS ÉVA KÖZPONTI ÓVODA
033746;Kaposvári Tar Csatár Központi Óvoda
033748;MATE Kaposvári Campus Gyakorló Óvoda
033757;Kaposvári Nemzetőr Sori Központi Óvoda
033759;Kaposvári Petőfi Sándor Központi Óvoda
033760;Kaposvári Rét Utcai Központi Óvoda
033765;Kaposvári Festetics Karolina Központi Óvoda
033797;Balatonlellei Napközi Otthonos Óvoda
033805;BALATONFENYVESI KISFENYŐ ÓVODA ÉS MINI BÖLCSŐDE
033851;SOMOGYSÁRDI HÉTSZÍNVIRÁG ÓVODA ÉS MINI BÖLCSŐDE
033860;Zselici Vadvirág Óvoda és Hóvirág Bölcsőde
033872;Kéthelyi Napsugár Óvoda és Bölcsőde
033873;Mesztegnyői Óvoda
033910;BALATONSZEMESI NYITNIKÉK ÓVODA ÉS MINI BÖLCSŐDE
033917;SÁGVÁRI BÓBITA ÓVODA ÉS BÖLCSŐDE
033919;ZAMÁRDI NAPKÖZIOTTHONOS ÓVODA ÉS BÖLCSŐDE
033923;Gamási Napközi Otthonos Óvoda
033933;BERZENCEI SZENT ANTAL ÓVODA, BÖLCSŐDE ÉS KONYHA
033938;PORROGI APRAJAFALVA ÓVODA
033957;ŐRTILOSI LURKÓ KUCKÓ ÓVODA
033966;Kaposvári Kodály Zoltán Központi Általános Iskola
033981;Lorántffy Zsuzsanna Református Óvoda, Általános Iskola, Gimnázium és Kollégium
033985;Marcali Noszlopy Gáspár Általános Iskola és Alapfokú Művészeti Iskola
033997;Boglári Általános Iskola és Alapfokú Művészeti Iskola
033998;Balatonlelle-Karádi Általános Iskola és Alapfokú Művészeti Iskola
034003;Tabi Takáts Gyula Általános Iskola és Alapfokú Művészeti Iskola
034005;Szent Gellért Római Katolikus Általános Iskola és Óvoda
034006;Balatonfenyvesi Fekete István Általános Iskola
034007;Palonai Magyar Bálint Általános Iskola
034008;Babócsai Zrínyi Miklós Általános Iskola
034012;Homokszentgyörgyi I. István Általános Iskola
034022;Csökölyi Általános Iskola
034028;Somssich Imre Általános Iskola
034029;Igali Batthyány Károly Általános Iskola
034048;Szász Endre Általános Iskola és Alapfokú Művészeti Iskola
034057;Szentbalázsi Körzeti Általános Iskola
034058;Taszári Fésűs Éva Általános Iskola
034064;Balatonkeresztúri Festetics Kristóf Általános Iskola
034065;Balatonszentgyörgyi Dobó István Általános Iskola
034066;Festetics Pál Általános Iskola és Alapfokú Művészeti Iskola
034067;Kéthelyi Széchenyi István Általános Iskola és Alapfokú Művészeti Iskola
034068;Ladi János Általános Iskola
034079;Véssey Mihály Általános Iskola
034084;Görgetegi Általános Iskola
034092;Somogyszobi Általános Iskola
034099;Balatonszárszói József Attila Általános Iskola
034100;Balatonszemesi Reich Károly Általános Iskola
034105;Ságvári Szilády Áron Általános Iskola
034107;Zamárdi Fekete István Általános Iskola
034110;Látrányi Fekete István Általános Iskola
034111;Fodor András Általános Iskola, Alapfokú Művészeti Iskola
034117;Kavulák János Általános Iskola
034119;Iharosberényi Körzeti Általános Iskola
034120;Inkei Bethlen István Általános Iskola
034124;Zákányi Zrínyi Miklós Általános Iskola
034126;Arany János Nevelési és Művelődési Intézmény Szenta
034127;Andocsi Szent Ferenc Általános Iskola és Alapfokú Művészeti Iskola
034136;Kányai Kányafészek Óvoda Konyha és Bölcsőde
034138;Törökkoppányi Általános Iskola
034141;Kaposvári Táncsics Mihály Gimnázium
034143;Kaposvári Csokonai Vitéz Mihály Általános Iskola, Gimnázium és Szakgimnázium
034145;Mátyás Király Gimnázium és Kollégium
034146;Marcali Berzsenyi Dániel Gimnázium
034148;Kaposvári Munkácsy Mihály Gimnázium
034149;Siófoki Perczel Mór Gimnázium és Kollégium
034155;Nagyboldogasszony Római Katolikus Gimnázium, Általános Iskola és Alapfokú Művészeti Iskola
034156;Csokonai Vitéz Mihály Református Gimnázium, Általános Iskola és Kollégium
034173;Cseri Úti Kollégium
034178;Kaposvári Zichy Mihály Iparművészeti Szakgimnázium, Technikum és Kollégium
034202;Jálics Ernő Általános Iskola és Kollégium
034218;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT BOLYAI UTCAI ÓVODA
034220;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT PITYPANG UTCAI ÓVODA
034221;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT BUDAPEST II. KERÜLETI SZÁZSZORSZÉP ÓVODA
034224;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT KÖZSÉGHÁZ UTCAI ÓVODA
034228;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT TÖRÖKVÉSZ ÚTI KÉZMŰVES ÓVODA
034229;BUDAPEST FŐVÁROSI II. KERÜLETI ÖNKORMÁNYZAT VIRÁG ÁROK ÓVODA
034234;Rózsabimbó Óvoda
034239;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT BUDAKESZI ÚTI ÓVODA
034244;Cseppkő Óvoda
034246;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT KITAIBEL PÁL UTCAI ÓVODA
034248;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT KOLOZSVÁR UTCAI ÓVODA
034251;Török Sándor Waldorf Óvoda
034252;BUDAPEST FŐVÁROS II. KERÜLETI ÖNKORMÁNYZAT SZEMLŐHEGY UTCAI ÓVODA
034253;Testvérkék Ferences Óvoda
034255;Zsebibaba Német Nemzetiségi Óvoda
034257;ÓBUDAI VACKOR ÓVODA
034258;Óbudai Mesevilág Óvoda
034260;NOA Óvoda
034263;Ágoston Művészeti Óvoda
034265;ÓBUDAI HÉTPETTYES ÓVODA
034266;Pitypang Művészeti Óvoda
034273;Cseresznyevirág Művészeti Óvoda
034274;ÓBUDAI SZÁZSZORSZÉP ÓVODA
034282;ÓBUDAI MESEERDŐ ÓVODA
034284;Gyermeksziget Montessori Óvoda
034285;ÓBUDAI GYERMEKVILÁG ÓVODA
034288;ÓBUDAI ALMÁSKERT ÓVODA
034292;Óbudai Waldorf Óvoda
034293;Kisközösség Óvoda
034294;Katica Óvoda
034295;Újpesti Aradi Óvoda
034296;Újpesti Aranyalma Óvoda
034304;Újpesti Játék-Mozgás-Kommunikáció Óvoda
034305;Újpesti Nyár Óvoda
034308;Újpesti Ambrus Óvoda
034309;Újpesti Viola Óvoda
034310;Újpesti Virág Óvoda
034311;Újpesti Bőrfestő Óvoda
034316;ÚJPESTI LIGET ÓVODA
034317;Újpesti Dalos Ovi Óvoda
034318;Újpesti Deák Óvoda
034320;Újpesti Homoktövis Óvoda
034321;Újpesti Park Óvoda
034323;Bástya Óvoda
034326;BELVÁROS-LIPÓTVÁROS BUDAPEST FŐVÁROS V. KER. ÖNKORMÁNYZAT TESZ-VESZ ÓVODA
034328;Balaton Óvoda
034333;Játékkal-Mesével Óvoda
034339;Terézvárosi Önkormányzat Kincseskert Óvodája
034340;Terézvárosi Önkormányzat Fasori Kicsinyek Óvodája
034342;Terézvárosi Önkormányzat Mesevilág Óvodája
034348;Terézvárosi Önkormányzat Szív Óvoda
034356;ERZSÉBETVÁROSI CSICSERGŐ ÓVODA
034357;ERZSÉBETVÁROSI NEFELEJCS ÓVODA
034358;ERZSÉBETVÁROSI DOB ÓVODA
034361;ERZSÉBETVÁROSI BÓBITA ÓVODA
034365;ERZSÉBETVÁROSI BRUNSZVIK TERÉZ ÓVODA
034374;ELTE Gyakorló Óvoda és Egységes Gyógypedagógiai Módszertani Intézmény
034379;Fővárosi Önkormányzat Óvodája
034388;Józsefvárosi Óvodák
034394;Semmelweis Egyetem Napköziotthonos Óvodája
034400;FERENCVÁROSI EPRES ÓVODA
034401;FERENCVÁROSI KICSI BOCS ÓVODA
034402;FERENCVÁROSI UGRIFÜLES ÓVODA
034404;FERENCVÁROSI MÉHECSKE ÓVODA
034406;FERENCVÁROSI NAPFÉNY ÓVODA
034407;FERENCVÁROSI CSUDAFA ÓVODA
034408;FERENCVÁROSI CSICSERGŐ ÓVODA
034411;FERENCVÁROSI KEREKERDŐ ÓVODA
034414;FERENCVÁROSI LILIOM ÓVODA
034415;Kőbányai Mászóka Óvoda
034416;Kőbányai Gépmadár Óvoda
034417;Kőbányai Bóbita Óvoda
034420;Kőbányai Gesztenye Óvoda
034422;Kőbányai Kiskakas Óvoda
034423;Kőbányai Csodapók Óvoda
034426;Kőbányai Gyöngyike Óvoda
034427;Kőbányai Hárslevelű Óvoda
034428;Kőbányai Aprók Háza Óvoda
034429;Kőbányai Csodafa Óvoda
034430;Kőbányai Rece-Fice Óvoda
034431;Kőbányai Gézengúz Óvoda
034432;Kőbányai Zsivaj Óvoda
034433;Richter Gedeon Vegyészeti Gyár Nyilvánosan Működő Rt. 1. sz. Óvoda
034435;Tündérkert Óvoda
034436;Kőbányai Mocorgó Óvoda
034438;Vizimanók Óvoda
034442;LÁGYMÁNYOSI ÓVODA
034448;ALBERTFALVAI ÓVODA
034449;GAZDAGRÉTI ÓVODA
034454;DÉL-KELENFÖLDI ÓVODA
034458;SZENTIMREVÁROSI ÓVODA
034462;ÉSZAK-KELENFÖLDI ÓVODA
034465;Még töbBMEsét - Műegyetemi Dolgozók és Hallgatók Gyermekeiért Alapítvány Óvodája
034467;SASADI ÓVODA
034468;KELENVÖLGY-ŐRMEZEI ÓVODA
034474;Szent Gellért Óvoda
034475;Rózsátnevető Waldorf Óvoda
034480;Táltos Óvoda
034481;Süni Óvodák
034482;Mackós Óvoda
034483;Normafa Óvoda
034487;Városmajori Óvodák
034488;Zugliget Óvoda
034492;ELTE Gyakorló Óvoda
034498;Orbánhegyi Óvodák
034501;Kimbi Óvoda
034506;Erdőszéli Magánóvoda
034509;Osztrák-Magyar Óvoda
034549;Zuglói Egyesített Óvoda
034575;Budapesti Zsidó Hitközség Benjamin Óvoda és Bölcsőde
034578;Csip-Csup Csodák Magánóvoda
034607;SZENTMIHÁLYI JÁTSZÓKERT ÓVODA
034610;BUDAPEST XVI. KERÜLETI NAPSUGÁR ÓVODA
034612;Cinkotai Huncutka Óvoda
034613;Sashalmi Manoda Óvoda
034617;BUDAPEST XVI. KERÜLETI MARGARÉTA ÓVODA
034622;Mátyásföldi Fecskefészek Óvoda
034623;BUDAPEST XVI. KERÜLETI GYEREKKUCKÓ ÓVODA
034628;RÁKOSMENTI APRÓFALVA ÓVODA
034629;RÁKOSMENTI ÖSSZEFOGÁS ÓVODA
034631;RÁKOSMENTI MICIMACKÓ ÓVODA
034633;RÁKOSMENTI BÓBITA ÓVODA
034634;RÁKOSMENTI HÉTSZÍNVIRÁG ÓVODA
034635;RÁKOSMENTI HÓFEHÉRKE ÓVODA
034636;RÁKOSMENTI CSICSERGŐ ÓVODA
034637;RÁKOSMENTI NAPSUGÁR ÓVODA
034638;RÁKOSMENTI PIROSKA ÓVODA
034639;RÁKOSMENTI SZÁZSZORSZÉP ÓVODA
034640;RÁKOSMENTI ROBOGÓ ÓVODA
034641;RÁKOSMENTI MÉZESKALÁCS ÓVODA
034643;RÁKOSMENTI KUCKÓ ÓVODA
034644;RÁKOSMENTI MÁKVIRÁG ÓVODA
034645;RÁKOSMENTI CSILLAGSZEM ÓVODA
034646;Mazsola Alapítványi Óvoda
034647;Rákoscsabai Református Egyházközség Betlehem Óvodája
034648;Rákosmenti Waldorf Óvoda
034663;Budapest Főváros XVIII. Kerület Pestszentlőrinc-Pestszentimre Önkormányzata Egyesített Óvoda
034684;"Ovi" Német Nemzetiségi Alapítványi Óvoda
034686;Liliomkert Katolikus Óvoda
034698;Kispesti Egyesített Óvodák
034710;Pesterzsébeti Nyitnikék Óvoda
034711;PESTERZSÉBETI BAROSS NÉMET NEMZETISÉGI ÓVODA
034717;I. SZ. ÖSSZEVONT ÓVODA
034720;Pesterzsébeti Gyermekmosoly Óvoda
034723;PESTERZSÉBETI GÉZENGÚZ ÓVODA
034726;Pesterzsébeti Lurkóház Óvoda
034732;II. SZ. NAPSUGÁR ÓVODA ÉS KONYHA
034735;Pesterzsébeti Kerekerdő Óvoda
034738;III. sz. Összevont Óvoda
034753;Budapest XXI. Kerület Csepel Önkormányzata Csepeli Csodakút Egyesített Óvoda
034769;Majd Megnövök Baptista Óvoda
034772;XXII. KERÜLETI EGYESÍTETT ÓVODA
034789;Budapest I. Kerületi Batthyány Lajos Általános Iskola
034791;Lisznyai Utcai Általános Iskola
034792;Budavári Általános Iskola
034796;Szent II. János Pál Óvoda, Általános Iskola és Gimnázium
034798;Áldás Utcai Általános Iskola
034799;Csik Ferenc Általános Iskola és Gimnázium
034800;Remetekertvárosi Általános Iskola
034802;Budenz József Általános Iskola és Gimnázium
034803;Újlaki Magyar-Olasz Két Tanítási Nyelvű Általános Iskola
034808;Budapest II. Kerületi Pitypang Utcai Általános Iskola
034810;Rózsadombi Általános Iskola
034812;Fillér Utcai Általános Iskola
034813;Pannonhalmi Főapátság Máriaremete-Hidegkúti Ökumenikus Általános Iskolája
034819;Nyitott Világ Fejlesztő Iskola
034821;"Habakukk a Gyermekekért" Alapítványi Bölcsőde és Német Nemzetiségi Óvoda
034822;Vadaskert Általános Iskola
034827;Budapest III. Kerületi Bárczi Géza Általános Iskola
034829;Csillaghegyi Általános Iskola
034830;Óbudai II. Rákóczi Ferenc Általános Iskola
034832;Fodros Általános Iskola
034833;Óbudai Harrer Pál Angol Nyelvet Emelt Szinten Oktató Általános Iskola
034836;Budapest III. Kerületi Kerék Általános Iskola és Gimnázium
034837;Dr. Béres József Általános Iskola
034838;Óbudai Nagy László Magyar-Angol Két Tanítási Nyelvű Általános Iskola
034839;Medgyessy Ferenc Német Nemzetiségi Nyelvoktató Általános Iskola Ferenc Medgyessy Deutsche Nationalitätengrundschule
034840;Andor Ilona Ének-Zenei Általános és Alapfokú Művészeti Baptista Iskola
034841;Pais Dezső Általános Iskola
034844;Első Óbudai Német Nyelvoktató Nemzetiségi Általános Iskola Erste Altofener Deutsche Nationalitätenschule
034846;Budapest III. Kerületi Zipernowsky Károly Általános Iskola
034847;Budapest III. Kerületi Dr. Szent-Györgyi Albert Általános Iskola
034848;Aquincum Angol-Magyar Két Tanítási Nyelvű Általános Iskola
034851;Szent József Katolikus Óvoda, Általános Iskola és Gimnázium
034853;Óbudai Waldorf Általános Iskola, Gimnázium és Alapfokú Művészeti Iskola
034858;Óbudai Szent Péter és Pál Szalézi Általános Iskola és Óvoda
034861;Újpesti Bajza József Általános Iskola
034862;Lázár Ervin Általános Iskola
034863;Újpesti Károlyi István Általános Iskola és Gimnázium
034864;Angol Nyelvet Emelt Szinten Oktató Általános Iskola
034865;Pécsi Sebestyén Ének-Zenei Általános Iskola és Alapfokú Művészeti Iskola
034866;Újpesti Bródy Imre Gimnázium és Általános Iskola
034867;Megyeri Úti Általános Iskola
034868;Újpesti Bene Ferenc Általános Iskola
034870;Újpesti Halassy Olivér Német Nyelvet Emelt Szinten Oktató Általános Iskola és Nyelvoktató Nemzetiségi Iskola
034872;Újpesti Szűcs Sándor Általános Iskola
034873;Újpesti Szigeti József Utcai Általános Iskola
034874;Újpesti Karinthy Frigyes Óvoda
034877;Újpesti Csokonai Vitéz Mihály Általános Iskola és Gimnázium
034878;Újpesti Homoktövis Általános Iskola
034881;Humánus Alapítványi Általános Iskola
034883;Deák Diák Ének-zenei Általános Iskola és Gimnázium
034885;Budapest V. Kerületi Szent István Magyar-Angol Két Tanítási Nyelvű Általános Iskola
034886;Budapest V. Kerületi Hild József Általános Iskola
034889;Budapest V. Kerületi Váci Utcai Ének-zenei Általános Iskola
034894;Budapesti Ward Mária Általános Iskola, Alapfokú Művészeti Iskola, Gimnázium és Zeneművészeti Szakgimnázium
034895;Budapest VI. Kerület Bajza Utcai Általános Iskola
034897;Budapest VI. Kerületi Derkovits Gyula Általános Iskola
034904;Budapest VI. Kerületi Vörösmarty Mihály Általános Iskola
034905;Lauder Javne Zsidó Közösségi Óvoda, Általános Iskola, Gimnázium és Zenei Alapfokú Művészeti Iskola
034911;Budapest VII. Kerületi Baross Gábor Általános Iskola
034917;Budapest-Fasori Református Kollégium Julianna Általános Iskolája és Csipkebokor Óvodája
034921;Budapest VIII. Kerületi Németh László Általános Iskola
034931;Vajda Péter Ének-zenei Általános és Sportiskola
034932;Losonci Téri Általános Iskola
034936;Molnár Ferenc Magyar-Angol Két Tanítási Nyelvű Általános Iskola
034937;Bakáts Téri Ének-zenei Általános Iskola
034938;Budapest IX. Kerületi Kosztolányi Dezső Általános Iskola
034939;Budapest IX. Kerületi Kőrösi Csoma Sándor Kéttannyelvű Általános Iskola
034942;Budapest IX. Kerületi Molnár Ferenc Magyar-Angol Két Tanítási Nyelvű Általános Iskola
034943;Budapest IX. Kerületi József Attila Általános Iskola és Alapfokú Művészeti Iskola
034949;Lónyay Utcai Református Gimnázium
034952;Kőbányai Janikovszky Éva Magyar - Angol Két Tanítási Nyelvű Általános Iskola
034954;Kőbányai Harmat Általános Iskola
034955;Kőbányai Fekete István Általános Iskola
034957;Kőbányai Kada Mihály Általános Iskola
034959;Kőbányai Keresztury Dezső Általános Iskola
034960;Kőbányai Szervátiusz Jenő Általános Iskola
034962;Kőbányai Szent László Általános Iskola
034966;Kőbányai Széchenyi István Magyar-Német Két Tanítási Nyelvű Általános Iskola
034968;Kőbányai Bem József Általános Iskola
034974;Újbudai Petőfi Sándor Általános Iskola
034976;Újbudai Gárdonyi Géza Általános Iskola
034978;Grosics Gyula Katolikus Sport Általános Iskola
034979;Újbudai Teleki Blanka Általános Iskola
034980;Újbudai Bocskai István Általános Iskola
034982;Újbudai József Attila Gimnázium
034983;Farkasréti Általános Iskola
034984;Kelenvölgyi Általános Iskola
034986;Újbudai Ádám Jenő Általános Iskola
034990;Domokos Pál Péter Általános Iskola
034993;Gazdagrét - Törökugrató Általános Iskola
034994;Gazdagrét-Csíkihegyek Általános Iskola
034997;Albertfalvi Don Bosco Katolikus Általános Iskola és Óvoda
034999;Svábhegyi Jókai Mór Általános Iskola és Német Nemzetiségi Általános Iskola
035001;ELTE Gyertyánffy István Gyakorló Általános Iskola
035004;Németvölgyi Általános Iskola
035006;Virányos Általános Iskola
035007;Zugligeti Általános Iskola
035010;Pannonia Sacra Katolikus Általános Iskola és Óvoda
035011;"Carl Rogers" Személyközpontú Óvoda és Általános Iskola
035016;Osztrák-Magyar Európaiskola
035018;Great Grace Nemzetközi Óvoda, Általános Iskola és Gimnázium
035019;Budapesti Nemzetközi Iskola-International School of Budapest és Magyar-Angol Két Tanítási Nyelvű Általános Iskola és Gimnázium
035020;Budapest XIII. Kerületi Csata Utcai Általános Iskola
035021;Budapest XIII. Kerületi Ének-zenei és Testnevelési Általános Iskola
035022;Budapest XIII. Kerületi Számítástechnikai Általános Iskola
035023;Budapest XIII. Kerületi Hunyadi Mátyás Általános Iskola
035026;Budapest XIII. Kerületi Gárdonyi Géza Általános Iskola
035028;Budapest XIII. Kerületi Pannónia Német Nemzetiségi Kétnyelvű és Angol Nyelvet Oktató Általános Iskola
035031;Budapest XIII. Kerületi Hegedüs Géza Általános Iskola
035036;Budapest XIII. Kerületi Eötvös József Általános Iskola
035045;Zuglói Munkácsy Mihály Általános Iskola és Alapfokú Művészeti Iskola
035046;Zuglói Herman Ottó Tudásközpont Általános Iskola
035048;Budapest XIV. Kerületi Jókai Mór Általános Iskola
035049;Budapest XIV. Kerületi Kaffka Margit Általános Iskola
035050;Városligeti Magyar-Angol Két Tanítási Nyelvű Általános Iskola
035051;Budapest XIV. Kerületi Liszt Ferenc Általános Iskola
035053;Zuglói Heltai Gáspár Általános Iskola
035054;Dr. Mező Ferenc Általános Iskola
035056;Hunyadi János Ének-zenei, Nyelvi Általános Iskola
035057;Budapest XIV. Kerületi Széchenyi István Általános Iskola
035058;Budapest XIV. Kerületi Móra Ferenc Általános Iskola
035059;Zuglói Hajós Alfréd Magyar-Német Két Tanítási Nyelvű Általános Iskola
035061;Zuglói Arany János Általános Iskola és Alapfokú Művészeti Iskola
035062;Budapest XIV. Kerületi Németh Imre Általános Iskola
035065;Új Suli Alapítványi Általános Iskola
035069;Czabán Általános Iskola
035071;Hartyán Általános Iskola
035072;Budapest XV. Kerületi László Gyula Gimnázium és Általános Iskola
035073;Kolozsvár Utcai Általános Iskola
035076;Szent Korona Általános Iskola
035077;Salkaházi Sára Katolikus Általános Iskola, Szakképző Iskola, Szakiskola, Készségfejlesztő Iskola és Fejlesztő Nevelés-Oktatást Végző Iskola
035078;Pestújhelyi Általános Iskola
035082;Budapest XV. Kerületi Kossuth Lajos Általános Iskola
035085;Budapest XVI. Kerületi Arany János Általános Iskola
035086;Budapest XVI. Kerületi Szent-Györgyi Albert Általános Iskola
035088;Budapest XVI. Kerületi Herman Ottó Általános Iskola
035089;Budapest XVI. Kerületi Batthyány Ilona Általános Iskola
035090;Centenáriumi Általános Iskola
035091;Budapest XVI. Kerületi Lemhényi Dezső Általános Iskola
035092;Budapest XVI. Kerületi Kölcsey Ferenc Általános Iskola
035093;Sashalmi Tanoda Általános Iskola
035095;Budapest XVI. Kerületi Jókai Mór Általános Iskola
035096;Budapest XVI. Kerületi Móra Ferenc Általános Iskola
035100;Néri Szent Fülöp Katolikus Általános Iskola
035101;Bornemisza Péter Gimnázium, Általános Iskola, Alapfokú Művészeti Iskola, Óvoda és Sportiskola
035103;Diadal Úti Általános Iskola
035104;Budapest XVII. Kerületi Kossuth Lajos Általános Iskola
035107;Budapest XVII. Kerületi Gregor József Általános Iskola
035109;Budapest XVII. Kerületi Czimra Gyula Általános Iskola
035112;Szabadság Sugárúti Általános Iskola
035113;Budapest XVII. Kerületi Zrínyi Miklós Általános Iskola
035114;Újlak Utcai Általános, Német Nemzetiségi és Magyar-Angol Két Tanítási Nyelvű Iskola
035115;Pál Apostol Katolikus Óvoda, Általános Iskola és Gimnázium
035117;Pestszentimrei Ady Endre Általános Iskola
035119;Budapest XVIII. Kerületi Bókay Árpád Általános Iskola
035120;Brassó Utcai Általános Iskola
035121;Darus Utcai Magyar-Német Két Tannyelvű Általános Iskola
035122;Gulner Gyula Általános Iskola
035123;Kandó Téri Általános Iskola
035124;Kapocs Magyar-Angol Két Tannyelvű Általános Iskola
035125;Kassa Utcai Általános Iskola
035126;Vajk-sziget Általános Iskola
035127;Budapest XVIII. Kerületi Csontváry Kosztka Tivadar Általános Iskola
035128;Budapest XVIII. Kerületi Kondor Béla Általános Iskola
035129;Eötvös Loránd Általános Iskola és Magyar-Angol Két Tanítási Nyelvű Általános Iskola
035131;Budapest XVIII. Kerületi Táncsics Német Nemzetiségi Általános Iskola
035132;Pestszentlőrinci Német Nemzetiségi Általános Iskola
035134;Kastélydombi Általános Iskola
035135;Gloriett Sportiskolai Általános Iskola
035136;Szent Lőrinc Katolikus Általános Iskola
035138;Kispesti Puskás Ferenc Általános Iskola
035139;Kispesti Eötvös József Általános Iskola
035142;Kispesti Erkel Ferenc Általános Iskola
035143;Kispesti Kós Károly Általános Iskola
035146;Kispesti Pannónia Általános Iskola
035147;Reménység Katolikus Általános Iskola és Óvoda
035148;Kispesti Vass Lajos Általános Iskola
035149;Kispesti Bolyai János Általános Iskola
035150;Karácsony Sándor Rózsatéri Református Általános Iskola és Óvoda
035152;Kispesti Waldorf Óvoda, Általános Iskola, Alapfokú Művészeti Iskola és Gimnázium
035153;Budapest XX. Kerületi Ady Endre Általános Iskola
035154;József Attila Katolikus Nyelvoktató Német Nemzetiségi Általános Iskola
035155;Budapest XXIII. Kerületi Grassalkovich Antal Általános Iskola
035157;Budapest XX. Kerületi Lázár Vilmos Általános Iskola
035158;Budapest XXIII. Kerületi Páneurópa Általános Iskola
035160;Gyulai István Sportiskolai Általános Iskola
035161;Budapest XXIII. Kerületi Fekete István Általános Iskola
035163;Budapest XXIII. Kerületi Mikszáth Kálmán Általános Iskola
035166;Budapest XXIII. Kerületi Török Flóris Általános Iskola
035167;Vörösmarty Mihály Református Általános Iskola
035168;Budapest XX. Kerületi Hajós Alfréd Általános Iskola
035169;Budapest XXI. Kerületi Herman Ottó Általános Iskola
035170;Budapest XXI. Kerületi Kölcsey Ferenc Általános Iskola
035172;Budapest XXI. Kerületi Eötvös József Általános Iskola
035173;Budapest XXI. Kerületi Katona József Általános Iskola
035174;Budapest XXI. Kerületi Mátyás Király Általános Iskola
035175;Lajtha László Baptista Általános Iskola
035178;Budapest XXI. Kerületi Karácsony Sándor Általános Iskola
035179;Budapest XXI. Kerületi Arany János Általános Iskola
035180;Szárcsa Általános Iskola
035181;Budapest XXI. Kerületi Széchenyi István Általános és Kéttannyelvű Általános Iskola
035182;Budapest XXI. Kerületi Móra Ferenc Általános Iskola
035184;Budapest XXI. Kerületi Kazinczy Ferenc Értékközvetítő és Képességfejlesztő Általános Iskola
