OM azonosító;Intézmény megnevezése
027803;Szent József Katolikus Általános Iskola és Óvoda
027804;Kiskunhalasi Fazekas Mihály Általános Iskola
027805;Kiskunhalasi Felsővárosi Általános Iskola
027806;Kiskunhalasi Református Kollégium Központi Általános Iskola
027807;Kiskunhalasi Kertvárosi Általános Iskola
027816;Tiszakécskei Református Általános Iskola és Gimnázium
027825;Szent Gellért Katolikus Általános Iskola és Óvoda
027826;Kunszentmiklósi Varga Domokos Általános Iskola
027829;Szent Anna Katolikus Óvoda és Általános Iskola
027839;Garai Nemzetiségi Általános Iskola
027841;Hercegszántói Horvát Tanítási Nyelvű Óvoda, Általános Iskola és Kollégium
027845;Magyarok Nagyasszonya Katolikus Általános Iskola
027846;Szeremle-Dunafalva Általános Iskola
027847;Vaskúti Német Nemzetiségi Általános Iskola
027859;Hajósi Szent Imre Általános Iskola
027861;Hartai Ráday Pál Általános Iskola és Alapfokú Művészeti Iskola
027867;Solti Vécsey Károly Általános Iskola és Alapfokú Művészeti Iskola
027872;Dunavecsei Petőfi Sándor Általános Iskola
027873;Dunavecsei Református Kollégium - Általános Iskola, Középiskola, és Kollégium
027879;Izsáki Táncsics Mihály Általános Iskola
027881;Kerekegyházi Móra Ferenc Általános Iskola és Alapfokú Művészeti Iskola
027884;Lajosmizsei Fekete István Sportiskolai Általános Iskola
027888;Kunszt József Katolikus Általános Iskola
027905;Pálmonostorai Gárdonyi Géza Általános Iskola
027906;Petőfiszállási Petőfi Sándor Általános Iskola
027907;Tiszaalpári Árpád Fejedelem Általános Iskola
027910;Kelebiai Farkas László Általános Iskola
027911;Kisszállási Sallai István Általános Iskola
027912;Kunfehértói Általános Iskola
027915;Tompai Szabó Dénes Általános Iskola
027924;Lakiteleki Eötvös Loránd Általános Iskola és Alapfokú Művészeti Iskola
027925;Szentkirályi Általános Iskola és Alapfokú Művészeti Iskola
027933;Kunpeszéri Általános Iskola
027935;Szalkszentmártoni Petőfi Sándor Általános Iskola
027936;Tassi Földváry Gábor Magyar-Német Két Tanítási Nyelvű Általános Iskola
027938;Bajai III. Béla Gimnázium
027939;Magyarországi Német Általános Művelődési Központ
027940;Bácsalmási Hunyadi János Gimnázium
027942;Kalocsai Szent István Gimnázium
027943;Kecskeméti Bányai Júlia Gimnázium
027944;Kecskeméti Katona József Gimnázium
027945;Kecskeméti Bolyai János Gimnázium
027946;Kiskunfélegyházi Móra Ferenc Gimnázium
027948;Baksay Sándor Református Gimnázium és Általános Iskola
027949;Piarista Gimnázium, Kollégium, Általános Iskola és Óvoda
027951;Kiskunhalasi Bibó István Gimnázium
027953;Kecskeméti Református Gimnázium
027955;Tiszakécskei Móricz Zsigmond Általános Iskola, Gimnázium, Kollégium és Alapfokú Művészeti Iskola
027956;Kiskunhalasi Református Kollégium Szilády Áron Gimnázium és Kollégium
027959;Szent László Általános Művelődési Központ
028047;Békési Kistérségi Óvoda és Bölcsőde
028052;Kölcsey Utcai és Ligeti Sori Óvoda
028058;Mackó-Kuckó Óvoda
028060;Lencsési Óvoda
028061;Penza Lakótelepi és Dr. Becsey Oszkár Utcai Óvoda
028062;Békéscsabai Tündérkert Óvoda
028070;Százszorszép Művészeti Bázisóvoda
028076;Románvárosi Óvoda
028097;Orosháza Városi Önkormányzat Napköziotthonos Óvodája
028106;Gál Ferenc Egyetem Szarvasi Gyakorló Általános Iskola és Gyakorlóóvoda
028112;SZEGHALMI TÜNDÉRKERT ÓVODA ÉS BÖLCSŐDE
028123;Selyem úti Óvoda
028124;Tulipános Óvoda
028138;Mezőberény Város Óvodai Intézménye
028155;DOBOZI MESEKERT ÓVODA ÉS KONYHA
028159;Kondorosi Többsincs Óvoda és Bölcsőde
028163;Telekgerendás Községi Önkormányzat Hétszínvirág Óvoda és Bölcsőde
028165;Közös Igazgatású Óvodai és Bölcsődei Intézmény
028172;Elek Város Óvoda-Bölcsőde
028181;Gádorosi Manóliget Óvoda és Mini Bölcsőde
028192;Békéssámson Községi Óvoda
028193;Tótkomlósi Evangélikus Óvoda
028214;HOLLÓSY KORNÉLIA ÓVODA
028242;Geszti Mesevilág Óvoda
028254;Békéscsabai Kazinczy Ferenc Általános Iskola
028256;Békéscsabai Baptista Általános Iskola
028258;Jankay Tibor Két Tanítási Nyelvű Általános Iskola
028262;Lencsési Általános Iskola
028264;Gerlai Általános Iskola
028269;Savio Szent Domonkos Katolikus Általános Iskola és Óvoda
028278;Magvető Református  Magyar - Angol Két Tanítási Nyelvű Általános Iskola és Óvoda
028279;Orosházi Táncsics Mihály Gimnázium és Kollégium
028280;Székács József Evangélikus Óvoda, Általános Iskola és Gimnázium
028287;Benka Gyula Evangélikus Angol Két Tanítási Nyelvű Általános Iskola, Óvoda és Alapfokú Művészeti Iskola
028292;Tildy Zoltán Általános Iskola és Alapfokú Művészeti Iskola
028297;Gyomaendrődi Kis Bálint Általános Iskola
028298;Rózsahegyi Kálmán Általános Iskola
028300;Szent Gellért Katolikus Általános Iskola és Gimnázium
028301;Sarkadi Általános Iskola
028303;Battonyai Két Tanítási Nyelvű Szerb Általános Iskola és Óvoda
028304;Magdu Lucian Román Általános Iskola és Óvoda
028308;Mezőhegyesi József Attila Általános Iskola és Kollégium
028314;Csorvási Gulyás Mihály Általános Iskola
028315;Dobozi Általános Iskola
028318;Kondorosi Petőfi István Általános Iskola és Kollégium
028319;Köröstarcsai Arany Gusztáv Általános Iskola
028320;Szabadkígyósi Általános Iskola
028322;Újkígyósi Széchenyi István Általános Iskola
028324;Vésztői Református Egyházközség Kis Bálint Általános Iskolája
028326;Eleki Román Általános Iskola
028327;Kétegyházi Márki Sándor Általános Iskola
028328;Kétegyházi Román Nemzetiségi Általános Iskola és Óvoda
028329;Lökösházi Általános Iskola
028330;Békéssámsoni Általános Iskola
028333;Kardoskúti Napköziotthonos Óvoda
028334;Nagyszénási Czabán Samu Általános Iskola
028337;Szlovák Két Tanítási Nyelvű Általános Iskola és Óvoda
028343;Bucsai II. Rákóczi Ferenc Általános Iskola és Alapfokú Művészeti Iskola
028352;Balsaráti Vitus János Általános Iskola
028356;Bereczki Máté Általános Iskola
028357;Magyarbánhegyesi Kossuth Lajos Általános Iskola
028371;Méhkeréki Román Nemzetiségi Kétnyelvű Általános Iskola
028374;Békéscsabai Andrássy Gyula Gimnázium és Kollégium
028375;Mezőberényi Petőfi Sándor Evangélikus  Gimnázium, Kollégium és Általános Iskola
028376;Mezőkovácsházi Hunyadi János Általános Iskola, Gimnázium és Kollégium
028380;Gyulai Erkel Ferenc Gimnázium és Kollégium
028387;NICOLAE BĂLCESCU ROMÁN GIMNÁZIUM, ÁLTALÁNOS ISKOLA ÉS KOLLÉGIUM
028388;Gyulai Római Katolikus Gimnázium, Általános Iskola, Óvoda és Kollégium
028390;Dr. Illyés Sándor Óvoda, Általános Iskola, Szakiskola, Készségfejlesztő Iskola, Kollégium és Egységes Gyógypedagógiai Módszertani Intézmény
028393;Békéscsabai Belvárosi Általános Iskola és Gimnázium
